MUNICIPIOS;Ano-2022;Ano-2023;Ano-2024;Ano-2025;;;;
ABAETETUBA;41212;42776;44163;45416;;;;
ABEL FIGUEIREDO;1734;1814;1884;1950;;;;
ACARA;5251;5316;5373;5434;;;;
AFUA;16;18;21;22;;;;
AGUA AZUL DO NORTE;3374;3490;3610;3738;;;;
ALENQUER;11455;11849;12209;12559;;;;
ALMEIRIM;4431;4631;4781;4966;;;;
ALTAMIRA;68470;70776;73592;76908;;;;
ANAJAS;409;436;459;478;;;;
ANANINDEUA;165779;171800;178161;184983;;;;
ANAPU;6199;6558;6809;7062;;;;
AUGUSTO CORREA;4088;4283;4454;4608;;;;
AURORA DO PARA;3285;3413;3533;3651;;;;
AVEIRO;348;373;393;412;;;;
BAGRE;267;282;294;304;;;;
BAIAO;2742;2868;2979;3080;;;;
BANNACH;953;992;1031;1070;;;;
BARCARENA;36380;37919;39324;40617;;;;
BELEM;503414;514143;527309;543280;;;;
BELTERRA;3714;3958;4174;4365;;;;
BENEVIDES;18510;19495;20380;21168;;;;
BOM JESUS DO TOCANTINS;3437;3606;3757;3897;;;;
BONITO;2089;2178;2259;2331;;;;
BRAGANCA;29670;31540;33253;34801;;;;
BRASIL NOVO;7017;7327;7614;7886;;;;
BREJO GRANDE DO ARAGUAIA;1700;1782;1856;1923;;;;
BREU BRANCO;10226;10718;11173;11599;;;;
BREVES;9938;10386;10780;11126;;;;
BUJARU;2917;3136;3324;3485;;;;
CACHOEIRA DO ARARI;1293;1357;1412;1460;;;;
CACHOEIRA DO PIRIA;2247;2413;2564;2699;;;;
CAMETA;17182;18058;18830;19507;;;;
CANAA DOS CARAJAS;27523;29763;31753;33492;;;;
CAPANEMA;34439;36003;37456;38816;;;;
CAPITAO POCO;10267;10747;11223;11694;;;;
CASTANHAL;94397;99546;104534;109289;;;;
CHAVES;25;26;27;28;;;;
COLARES;977;1025;1067;1103;;;;
CONCEICAO DO ARAGUAIA;21179;22300;23337;24286;;;;
CONCORDIA DO PARA;7070;7539;7936;8271;;;;
CUMARU DO NORTE;1514;1611;1687;1748;;;;
CURIONOPOLIS;7667;7869;8119;8407;;;;
CURRALINHO;573;615;625;683;;;;
CURUA;832;868;894;912;;;;
CURUCA;4649;4909;5143;5351;;;;
DOM ELISEU;14839;15527;16161;16754;;;;
ELDORADO DOS CARAJAS;11256;12419;13411;14209;;;;
FARO;166;173;180;187;;;;
FLORESTA DO ARAGUAIA;4980;5186;5385;5581;;;;
GARRAFAO DO NORTE;2566;2699;2813;2910;;;;
GOIANESIA DO PARA;7427;7935;8404;8797;;;;
GURUPA;878;925;964;996;;;;
IGARAPE-ACU;9774;10384;10915;11374;;;;
IGARAPE-MIRI;7297;7613;7891;8136;;;;
INHANGAPI;1927;2031;2120;2195;;;;
IPIXUNA DO PARA;4017;4336;4634;4909;;;;
IRITUIA;3716;3871;4016;4155;;;;
ITAITUBA;55822;59137;62199;64993;;;;
ITUPIRANGA;19584;24655;30252;36082;;;;
JACAREACANGA;1197;1267;1337;1407;;;;
JACUNDA;18974;20132;21363;22580;;;;
JURUTI;3639;3779;3907;4026;;;;
LIMOEIRO DO AJURU;464;498;529;557;;;;
MAE DO RIO;10713;11173;11628;12080;;;;
MAGALHAES BARATA;650;680;707;732;;;;
MARABA;140403;146600;152534;158265;;;;
MARACANA;2119;2254;2375;2485;;;;
MARAPANIM;2942;3086;3217;3334;;;;
MARITUBA;32069;33080;34011;34907;;;;
MEDICILANDIA;7549;7827;8104;8389;;;;
MELGACO;291;302;314;325;;;;
MOCAJUBA;2564;2743;2906;3053;;;;
MOJU;11817;12407;12932;13398;;;;
MOJUI DOS CAMPOS;5;5;6;6;;;;
MONTE ALEGRE;16328;17062;17770;18465;;;;
MUANA;1163;1212;1261;1310;;;;
NOVA ESPERANCA DO PIRIA;1823;1911;1988;2058;;;;
NOVA IPIXUNA;3866;4045;4200;4374;;;;
NOVA TIMBOTEUA;2499;2590;2680;2773;;;;
NOVO PROGRESSO;20478;22186;23793;25283;;;;
NOVO REPARTIMENTO;21240;22426;23496;24465;;;;
OBIDOS;8661;8978;9273;9557;;;;
OEIRAS DO PARA;849;892;929;960;;;;
ORIXIMINA;11453;11791;12180;12651;;;;
OUREM;2657;2768;2869;2966;;;;
OURILANDIA DO NORTE;14853;15409;15953;16495;;;;
PACAJA;10095;10790;11399;11931;;;;
PALESTINA DO PARA;1058;1113;1164;1209;;;;
PARAGOMINAS;47862;49866;51882;53908;;;;
PARAUAPEBAS;129539;139375;148361;156436;;;;
PAU DARCO;1836;1906;1975;2046;;;;
PEIXE-BOI;1597;1640;1684;1731;;;;
PICARRA;1878;1973;2055;2127;;;;
PLACAS;3794;3993;4164;4312;;;;
PONTA DE PEDRAS;1546;1618;1679;1730;;;;
PORTEL;2301;2389;2467;2540;;;;
PORTO DE MOZ;1497;1593;1674;1743;;;;
PRAINHA;1780;1882;1970;2046;;;;
PRIMAVERA;1665;1692;1723;1759;;;;
QUATIPURU;1010;1064;1105;1145;;;;
REDENCAO;75035;78495;81786;84957;;;;
RIO MARIA;9101;9573;10117;10706;;;;
RONDON DO PARA;17976;18668;19366;20068;;;;
RUROPOLIS;7878;8431;8918;9345;;;;
SALINOPOLIS;11949;12442;12937;13434;;;;
SALVATERRA;3218;3348;3465;3570;;;;
SANTA BARBARA DO PARA;4146;4336;4504;4651;;;;
SANTA CRUZ DO ARARI;214;220;223;230;;;;
SANTA ISABEL DO PARA;23936;24893;25727;26461;;;;
SANTA LUZIA DO PARA;3512;3660;3802;3942;;;;
SANTA MARIA DAS BARREIRAS;3642;3956;4249;4519;;;;
SANTA MARIA DO PARA;8307;8771;9183;9547;;;;
SANTANA DO ARAGUAIA;14900;15585;16227;16839;;;;
SANTAREM;125858;132550;139237;145822;;;;
SANTAREM NOVO;851;885;916;943;;;;
SANTO ANTONIO DO TAUA;5756;6031;6272;6487;;;;
SAO CAETANO DE ODIVELAS;1889;1990;2079;2160;;;;
SAO DOMINGOS DO ARAGUAIA;9340;9727;10082;10415;;;;
SAO DOMINGOS DO CAPIM;2483;2588;2682;2769;;;;
SAO FELIX DO XINGU;21510;22547;23487;24357;;;;
SAO FRANCISCO DO PARA;3899;4206;4482;4726;;;;
SAO GERALDO DO ARAGUAIA;9779;10256;10690;11087;;;;
SAO JOAO DA PONTA;559;583;608;632;;;;
SAO JOAO DE PIRABAS;2425;2561;2683;2792;;;;
SAO JOAO DO ARAGUAIA;2090;2209;2314;2409;;;;
SAO MIGUEL DO GUAMA;13727;14327;14909;15481;;;;
SAO SEBASTIAO DA BOA VISTA;613;665;712;754;;;;
SAPUCAIA;1681;1763;1843;1923;;;;
SENADOR JOSE PORFIRIO;1593;1745;1876;1987;;;;
SOURE;3735;3873;3996;4110;;;;
TAILANDIA;28384;30349;31988;33273;;;;
TERRA ALTA;1778;1887;1984;2070;;;;
TERRA SANTA;1017;1041;1064;1087;;;;
TOME-ACU;19174;20678;22010;23155;;;;
TRACUATEUA;3118;3285;3433;3564;;;;
TRAIRAO;4098;4377;4627;4849;;;;
TUCUMA;30670;31989;33307;34634;;;;
TUCURUI;37999;39674;41380;43104;;;;
ULIANOPOLIS;5882;6204;6487;6736;;;;
URUARA;14432;15183;15824;16378;;;;
VIGIA;9194;9618;9989;10313;;;;
VISEU;3957;4180;4382;4566;;;;
VITORIA DO XINGU;3005;3113;3202;3280;;;;
XINGUARA;32021;33285;34751;36380;;;;
;;;;;;;;
