MUNICIPIOS;Automóvel;Caminhonete;Motocicleta;Onibus;Microônibus;Reboque;Utilitário;Total
ABAETETUBA;5.778;930;19.231;305;32;158;85;26519
ABEL FIGUEIREDO;299;169;693;7;6;15;1;1190
ACARA;705;306;3.221;104;13;47;8;4404
AFUA;1;1;3;1;1;;1;8
AGUA AZUL DO NORTE;448;319;1.689;39;12;38;4;2549
ALENQUER;991;670;7.402;92;6;2;46;9209
ALMEIRIM;1.149;282;1.511;108;24;37;20;3131
ALTAMIRA;11.398;5.386;33.503;397;184;346;380;51594
ANAJAS;8;6;241;1;1;2;1;260
ANANINDEUA;68.022;7.692;47.257;1.713;368;2.235;848;128135
ANAPU;569;541;2.839;23;22;16;12;4022
AUGUSTO CORREA;810;291;1.862;87;5;21;11;3087
AURORA DO PARA;724;235;1.465;78;17;53;1;2573
AVEIRO;17;21;201;7;1;3;1;251
BAGRE;14;10;143;2;1;1;1;172
BAIAO;293;211;1.366;31;5;3;2;1911
BANNACH;97;110;471;6;1;8;6;699
BARCARENA;9.742;1.600;11.507;858;161;261;142;24271
BELEM;236.821;29.124;126.899;3.897;2.104;6.850;6.096;411791
BELTERRA;700;239;1.446;80;13;8;12;2498
BENEVIDES;4.594;863;5.795;193;57;375;85;11962
BOM JESUS DO TOCANTINS;572;303;1.547;9;9;41;7;2488
BONITO;544;138;745;106;4;22;4;1563
BRAGANCA;5.552;1.612;12.390;231;44;237;82;20148
BRASIL NOVO;678;629;4.069;13;11;11;13;5424
BREJO GRANDE DO ARAGUAIA;212;114;812;11;3;10;1;1163
BREU BRANCO;1.448;592;5.023;131;17;88;21;7320
BREVES;868;199;5.808;11;1;13;29;6929
BUJARU;461;166;1.220;44;10;24;3;1928
CACHOEIRA DO ARARI;106;49;785;19;3;1;1;964
CACHOEIRA DO PIRIA;397;205;864;34;4;19;3;1526
CAMETA;1.283;398;10.690;89;12;17;39;12528
CANAA DO CARAJAS;4.849;1.831;8.816;246;103;247;96;16188
CAPANEMA;7.599;1.718;12.949;119;39;493;124;23041
CAPITAO POCO;2.294;883;3.822;124;28;166;43;7360
CASTANHAL;23.956;4.989;32.759;483;178;2.579;400;65344
CHAVES;4;2;12;1;1;1;1;22
COLARES;162;51;493;5;1;11;1;724
CONCEICAO DO ARAGUAIA;3.295;1.374;9.223;128;42;268;56;14386
CONCORDIA DO PARA;951;323;3.342;74;15;79;6;4790
CUMARU DO NORTE;97;129;721;9;2;6;3;967
CURIONOPOLIS;1.365;649;3.430;38;120;76;28;5706
CURRALINHO;19;9;357;2;1;1;1;390
CURUA;20;45;588;5;1;1;6;666
CURUCA;917;225;2.148;29;13;81;3;3416
DOM ELISEU;2.167;1.020;6.167;55;70;173;46;9698
ELDORADO DOS CARAJAS;1.157;654;4.547;27;55;62;23;6525
FARO;15;9;80;1;1;1;2;109
FLORESTA DO ARAGUAIA;586;522;2.298;24;3;38;2;3473
GARRAFAO DO NORTE;719;247;792;27;13;23;7;1828
GOIANESIA;944;583;3.138;50;29;77;14;4835
GURUPA;30;20;587;3;1;1;1;643
IGARAPE-ACU;1.855;570;3.318;144;92;119;37;6135
IGARAPE-MIRI;963;247;3.765;55;26;54;16;5126
INHANGAPI;337;113;808;32;4;15;5;1314
IPIXUNA DO PARA;806;255;1.533;63;18;54;7;2736
IRITUIA;745;300;1.766;55;9;52;8;2935
ITAITUBA;7.640;4.404;23.767;199;40;164;308;36522
ITUPIRANGA;1.352;1.006;5.800;52;111;98;15;8434
JACAREACANGA;88;130;683;5;2;2;8;918
JACUNDA;1.922;1.297;9.645;55;23;192;30;13164
JURUTI;366;273;1.983;49;7;10;24;2712
LIMOEIRO DO AJURU;17;7;303;5;1;1;2;336
MAE DO RIO;2.053;570;5.170;77;31;209;16;8126
MAGALHAES BARATA;117;28;302;11;9;8;1;476
MARABA;32.198;11.018;50.267;761;290;1.500;532;96566
MARACANA;346;118;978;39;17;27;3;1528
MARAPANIM;680;118;1.304;39;15;59;6;2221
MARITUBA;9.760;1.489;10.693;569;87;490;125;23213
MEDICILANDIA;842;705;4.407;46;9;9;17;6035
MELGACO;13;9;165;4;1;1;1;194
MOCAJUBA;296;115;1.325;16;4;5;4;1765
MOJU;1.658;478;6.120;273;22;139;15;8705
MOJUI DOS CAMPOS;390;243;811;62;1;1;9;1517
MONTE ALEGRE;1.468;1.125;9.625;241;18;7;65;12549
MUANA;47;23;632;13;2;2;1;720
NOVA ESPERANCA DO PIRIA;409;253;609;30;7;19;4;1331
NOVA IPIXUNA;548;330;1.856;30;4;43;8;2819
NOVA TIMBOTEUA;676;165;935;20;8;69;1;1874
NOVO PROGRESSO;2.211;2.362;7.576;54;13;163;85;12464
NOVO REPARTIMENTO;1.605;1.505;11.952;83;41;41;21;15248
OBIDOS;962;758;4.640;79;8;12;45;6504
OEIRAS DO PARA;34;13;540;12;1;1;1;602
ORIXIMINA;1.936;945;6.157;53;13;13;46;9163
OUREM;676;250;895;24;2;23;7;1877
OURILANDIA DO NORTE;2.070;1.027;7.591;31;12;142;52;10925
PACAJA;732;738;5.523;16;36;15;12;7072
PALESTINA DO PARA;121;73;537;5;6;7;1;750
PARAGOMINAS;10.350;3.516;17.336;254;101;991;334;32882
PARAUAPEBAS;28.731;10.254;34.514;1.419;613;1.137;595;77263
PAU D'ARCO;282;91;968;10;13;10;1;1375
PEIXE-BOI;560;92;520;23;8;29;7;1239
PICARRA;128;147;1.104;8;1;12;4;1404
PLACAS;235;276;2.197;10;7;6;15;2746
PONTA DE PEDRAS;107;28;857;6;2;1;1;1002
PORTEL;141;55;1.275;11;2;3;5;1492
PORTO DE MOZ;115;68;696;7;1;2;1;890
PRAINHA;88;128;1.071;8;2;1;3;1301
PRIMAVERA;455;104;680;25;8;16;3;1291
QUATIPURU;248;69;411;20;9;10;1;768
REDENCAO;12.540;6.031;30.781;229;110;991;310;50992
RIO MARIA;1.291;897;3.812;58;29;132;30;6249
RONDON DO PARA;2.304;1.356;8.234;33;45;202;53;12227
RUROPOLIS;589;567;3.805;28;12;19;19;5039
SALINOPOLIS;2.554;553;4.899;125;43;198;56;8428
SALVATERRA;393;128;1.649;34;34;11;7;2256
SANTA BARBARA DO PARA;1.005;185;1.538;117;22;60;14;2941
SANTA CRUZ DO ARARI;7;10;155;2;1;1;1;177
SANTA ISABEL DO PARA;5.307;1.141;8.886;210;62;459;59;16124
SANTA LUZIA DO PARA;815;280;1.399;40;15;58;6;2613
SANTA MARIA DAS BARREIRAS;428;404;1.336;51;7;34;9;2269
SANTA MARIA DO PARA;1.845;509;2.698;75;27;271;30;5455
SANTANA DO ARAGUAIA;1.918;1.027;7.129;53;17;116;25;10285
SANTAREM;34.712;10.419;45.500;920;156;482;1.652;93841
SANTAREM NOVO;216;25;383;20;5;25;1;675
SANTO ANTONIO DO TAUA;1.304;339;2.092;107;24;96;21;3983
SAO CAETANO DE ODIVELAS;335;130;816;22;2;22;3;1330
SAO DOMINGOS DO ARAGUAIA;1.025;525;4.777;31;26;95;12;6491
SAO DOMINGOS DO CAPIM;467;131;1.299;34;1;33;2;1967
SAO FELIX DO XINGU;1.419;1.247;12.576;56;11;80;29;15418
SAO FRANCISCO DO PARA;760;222;1.414;29;39;54;4;2522
SAO GERALDO DO ARAGUAIA;848;569;5.207;25;10;92;16;6767
SAO JOAO DA PONTA;118;33;241;9;3;15;1;420
SAO JOAO DE PIRABAS;500;114;1.091;36;9;39;3;1792
SAO JOAO DO ARAGUAIA;345;129;979;12;15;15;2;1497
SAO MIGUEL DO GUAMA;2.342;654;6.581;123;31;209;55;9995
SAO SEBASTIAO DA BOA VISTA;26;3;354;1;1;1;1;387
SAPUCAIA;273;173;798;14;4;25;5;1292
SENADOR JOSE PORFIRIO;98;96;753;12;3;8;1;971
SOURE;416;105;1.949;15;6;12;15;2518
TAILANDIA;2.991;1.257;13.736;233;48;337;65;18667
TERRA ALTA;425;80;746;18;16;40;2;1327
TERRA SANTA;66;50;600;3;1;1;1;722
TOME-ACU;2.494;1.154;7.835;178;21;278;39;11999
TRACUATEUA;615;178;1.416;96;3;24;5;2337
TRAIRAO;332;379;1.957;19;3;19;12;2721
TUCUMA;3.067;2.279;16.429;104;21;272;79;22251
TUCURUI;7.823;2.341;15.957;232;84;326;183;26946
ULIANOPOLIS;818;400;2.445;59;32;104;25;3883
URUARA;1.227;1.176;6.973;41;24;39;88;9568
VIGIA;1.751;447;3.255;89;26;106;20;5694
VISEU;520;270;2.072;61;6;16;2;2947
VITORIA DO XINGU;580;309;1.336;30;28;43;14;2340
XINGUARA;4.562;2.731;14.766;141;30;481;137;22848
